ParcelNumber,Date,Price,ConveyanceTax
4520220190004,2024-01-08T10:00:00Z,1900000,5700.00
4520220190001,2024-02-01T10:00:00Z,3980000,19900.00
4520210220000,2024-06-04T10:00:00Z,295000,295.00
4520201160000,2024-04-01T10:00:00Z,1325000,3975.00
4520201130000,2024-04-10T10:00:00Z,1600000,4800.00
4520200350000,2024-01-29T10:00:00Z,1300000,5200.00
4520190060002,2024-02-23T10:00:00Z,1618000,6472.00
4520170150001,2024-06-24T10:00:00Z,4025000,34212.50
4520151040000,2024-04-15T10:00:00Z,1520000,4560.00
4520151030000,2024-04-29T10:00:00Z,1425000,4275.00
4520130020000,2024-05-31T10:00:00Z,4000000,34000.00
4520050520006,2024-04-12T10:00:00Z,858000,1716.00
4520050520005,2024-04-12T10:00:00Z,858000,1716.00
4520050520004,2024-04-12T10:00:00Z,858000,1716.00
4520050520003,2024-04-12T10:00:00Z,858000,1716.00
4520050520002,2024-04-12T10:00:00Z,858000,1716.00
4520050520001,2024-04-12T10:00:00Z,858000,1716.00
4510060320003,2024-05-13T10:00:00Z,2800000,16800.00
4510060210002,2024-03-13T10:00:00Z,3000000,15000.00
4510060090003,2024-05-24T10:00:00Z,2550000,12750.00
4510060030004,2024-06-17T10:00:00Z,3095000,15475.00
4510050440003,2024-04-26T10:00:00Z,1500000,6000.00
4510040060002,2024-03-20T10:00:00Z,1700000,5100.00
4490140300000,2024-03-21T10:00:00Z,1600000,6400.00
4490130130000,2024-01-29T10:00:00Z,500000,500.00
4490120060000,2024-06-04T10:00:00Z,600000,ERROR
4490110130005,2024-01-31T10:00:00Z,500000,500.00
4490090120009,2024-05-03T10:00:00Z,2600000,15600.00
4490090090007,2024-04-29T10:00:00Z,1000000,3000.00
4490090090005,2024-05-02T10:00:00Z,1600500,4801.50
4490040280000,2024-01-12T10:00:00Z,5000000,42500.00
4490030010002,2024-05-02T10:00:00Z,1900000,5700.00
4480080340000,2024-03-05T10:00:00Z,1357500,5430.00
4480070060002,2024-03-18T10:00:00Z,3000000,ERROR
4470050150000,2024-02-16T10:00:00Z,650000,1625.00
4460420150000,2024-05-21T10:00:00Z,1450000,5800.00
4460410750000,2024-06-28T10:00:00Z,1092000,3276.00
4460410460000,2024-04-15T10:00:00Z,975000,2437.50
4460380460000,2024-02-12T10:00:00Z,755000,1510.00
4460380450000,2024-02-29T10:00:00Z,880000,2200.00
4460370330000,2024-01-09T10:00:00Z,775000,1550.00
4460361630000,2024-01-19T10:00:00Z,700000,1750.00
4460351280000,2024-03-11T10:00:00Z,675000,1350.00
4460350090000,2024-05-24T10:00:00Z,1100000,3300.00
4460340130011,2024-05-13T10:00:00Z,730000,1460.00
4460340130010,2024-05-20T10:00:00Z,775000,1550.00
4460310080000,2024-06-04T10:00:00Z,317000,475.50
4460280170008,2024-05-22T10:00:00Z,1325000,3975.00
4460250470000,2024-01-12T10:00:00Z,475000,712.50
4460250440004,2024-02-07T10:00:00Z,320000,320.00
4460240680000,2024-03-13T10:00:00Z,820000,1640.00
4460240620000,2024-04-24T10:00:00Z,770000,1540.00
4460240230000,2024-01-02T10:00:00Z,970000,1940.00
4460170320000,2024-08-26T10:00:00Z,799000,1598.00
4460170190002,2024-04-29T10:00:00Z,890000,1780.00
4460160480000,2024-05-01T10:00:00Z,855000,1710.00
4460160230000,2024-02-29T10:00:00Z,750000,1500.00
4460160050042,2024-06-12T10:00:00Z,635000,1270.00
4460160050030,2024-05-17T10:00:00Z,565000,565.00
4460160050019,2024-06-26T10:00:00Z,585000,ERROR
4460160050016,2024-02-21T10:00:00Z,445000,445.00
4460160050004,2024-05-01T10:00:00Z,615000,1230.00
4460150770000,2024-02-23T10:00:00Z,825000,1650.00
4460130830000,2024-04-12T10:00:00Z,1049000,3147.00
4460130780000,2024-03-20T10:00:00Z,1045000,4180.00
4460120200000,2024-05-28T10:00:00Z,800000,1600.00
4460071230000,2024-02-29T10:00:00Z,850000,1700.00
4460070860001,2024-02-15T10:00:00Z,1425000,4275.00
4460070570002,2024-01-16T10:00:00Z,1999000,5997.00
4460060690001,2024-02-02T10:00:00Z,1695000,5085.00
4450170150000,2024-04-26T10:00:00Z,350000,350.00
4450160260000,2024-04-12T10:00:00Z,1070000,3210.00
4450160110002,2024-03-18T10:00:00Z,264000,396.00
4450150220001,2024-05-03T10:00:00Z,1100000,3300.00
4450120090000,2024-03-04T10:00:00Z,1200000,3600.00
4450110160000,2024-02-05T10:00:00Z,2500000,12500.00
4450070020025,2024-01-31T10:00:00Z,1100000,4400.00
4450070020023,2024-06-24T10:00:00Z,960000,2400.00
4450030270000,2024-04-12T10:00:00Z,1220000,3660.00
